Fecha;Actividad;Participantes;Estado
8/10/2025;Designación del referente de la DGA ante VUCEA para el proyecto VUA;DI REPA;Completado
14/10/2025;Primera reunión: VUCEA expone el nuevo alcance del proyecto VUA Carga;DI REPA, VUCEA;Completado
4/12/2025;Reunión de relevamiento del proceso de carga aérea;DI REPA, VUCEA;Completado
18/12/2025;Reunión de análisis de la RG 5797/2025 y su implicancia en VUA;DI REPA, VUCEA;Completado
2/1/2026;Solicitud de tablas de referencia por parte de VUCEA. DI REPA informa que corresponden a IATA;DI REPA, VUCEA;Completado
5/1/2026;Reunión de soporte entre VUCEA y Aerolíneas Argentinas para relevamiento de documentación en papel;DI REPA, VUCEA, Aerolíneas Argentinas;Completado
7/1/2026;DI REPA remite a VUCEA documentación de implementación de los XML de información anticipada del Manifiesto de Carga Aérea;DI REPA, VUCEA;Completado
14/1/2026;Reunión de relevamiento del flujo de información actual con EANA;DI REPA, VUCEA, EANA;Completado
16/1/2026;Reunión interna DGA: constitución de mesa de trabajo interáreas para dar respuesta a VUCEA;DI REPA, DI SADU, DI ADEZ;Completado
19/1/2026;Reunión con DI SADU para coordinar respuestas técnicas a VUCEA;DI REPA, DI SADU;Completado
23/1/2026;Remisión de respuestas técnicas a VUCEA;DI REPA, VUCEA;Completado
26/1/2026;Reunión de ampliación de respuestas enviadas por escrito;DI REPA, VUCEA;Completado
27/1/2026;Reunión interna con DI ADEZ: inicio de mesa de trabajo conjunta y puesta en conocimiento del trabajo con VUCEA;DI REPA, DI ADEZ;Completado
30/1/2026;Reunión entre VUCEA, DI SADU y DI REPA — cancelada por pedido de VUCEA;DI REPA, DI SADU, VUCEA;Completado
4/2/2026;Reunión entre DI REPA y DI ADEZ: exposición del estado del proyecto y lineamientos de trabajo;DI REPA, DI ADEZ;Completado
11/2/2026;Demo sistema VUA: VUCEA presenta primera versión del formulario Plan de Vuelo y carga de tripulación;DI REPA, VUCEA, SENASA, ORSNA, DI ADEZ, Aerolíneas Argentinas, PSA;Completado
25/2/2026;Reunión presencial en Aeropuerto de Ezeiza: relevamiento operativo de circuitos de carga;DI REPA, DI ADEZ, VUCEA;Completado
4/3/2026;Reunión entre DGA, DI REPA, DI ADEZ y VUCEA;DI REPA, DI ADEZ, VUCEA;Completado
17/3/2026;Reunión presencial con TCA: relevamiento del circuito de desconsolidación;DI REPA, DI ADEZ, VUCEA, TCA;Completado
18/3/2026;DI REPA comparte con DI ADEZ los circuitos BPMN de IMPO y EXPO para evaluación;DI REPA, DI ADEZ;Completado
19/3/2026;DI REPA comparte con VUCEA el portal UN/LOCODE para relevamiento de tablas de referencia;DI REPA, VUCEA;Completado
25/3/2026;Reunión sobre Manifiesto Desconsolidado de Importación: relevamiento del circuito y cuello de botella operativo;DI REPA, DI ADEZ, VUCEA, TCA;Completado
1/5/2026;Análisis técnico de formularios Guía Madre (XFWB) realizado por DI REPA;DI REPA;Completado
11/5/2026;Reunión ARCA-SENASA: intercambio sobre integración de organismos de control en PAD;DI REPA, SENASA;Completado
14/5/2026;Reunión de mesa de trabajo: información anticipada, tablero de vuelos, MANE y marco normativo;DI REPA, DI SADU, DI ADEZ, VUCEA;Completado
18/5/2026;Intercambio por correo entre DI REPA y DI SADU sobre modalidad de acceso al tablero.;DI REPA, DI SADU;Completado
19/5/2026;Respuesta al archivo Excel adjunto con la Minuta respecto de los campos del formulario de guía madre elaborado de VUCEA.;DI REPA;Completado
21/5/2026;Reunión ampliada de mesa de trabajo con aerolíneas: información anticipada, circuito de importación, formulario de desconsolidado y articulación con proyecto DAI;DG ADUA, DI REPA, DI SADU, DI ADEZ, VUCEA, IATA, JURCA;Completado
28/5/2026;Explicación por parte de DI REPA al equipo de VUA y DAI del circuito de Importación y Exportación por vía Aérea.;DI REPA, VUCEA;Completado
3/6/2026;Explicación por parte de DI REPA al equipo de VUA y DAI del circuito de Exportación por vía Aérea.;DI REPA, VUCEA;Completado
A definir;Visita al aeropuerto de Ezeiza para relevar el circuito de exportación y las acciones de las aerolíneas y el depositario.;DI REPA, VUCEA, DI ADEZ;Pendiente
A definir;Reunión específica para análisis del MANE con documentación técnica remitida;DI REPA, DI ADEZ, VUCEA;Pendiente
A definir;Definición de modalidad de acceso al tablero de vuelos (GDE o web service);DI REPA, DI SADU;Pendiente
A definir;Análisis normativo conjunto sobre rol de VUCEA como intermediario;DI REPA, áreas legales DGA y VUCEA;Pendiente
